row,col,expected,actual,numeric_diff
52,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
52,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
52,5,1/27/2026,"January 27, 2026",
52,6,"1,031.33",1031.33,
52,7,1199984.01,1147302.01,52682.0
52,8,4708503917,4701705973,6797944.0
52,12,WILSON 536,SMITH J W 32304,
52,14,RITCHIE,DODDRIDGE,
52,16,Gas,,
52,18,Royalty Interest,ROYALTY INTEREST,
52,19,0,0.010176,-0.010176
52,20,0,0.010176,-0.010176
52,21,1/31/2026,Nov 25,
52,22,0,3.24,-3.24
52,23,1,1.2304,-0.23039999999999994
52,24,0,514.48,-514.48
52,25,0,1666.53,-1666.53
52,26,0,,
52,27,0,,
52,28,0,,
52,29,0,5.24,-5.24
52,30,150,16.96,133.04
52,31,0,,
52,32,0,,
52,33,150,,
53,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
53,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
53,5,1/27/2026,"January 27, 2026",
53,6,"1,031.33",1031.33,
53,7,1199985.01,1147302.01,52683.0
53,8,4708503921,4701705973,6797948.0
53,12,WILSON 741,SMITH J W 32304,
53,14,RITCHIE,DODDRIDGE,
53,16,Gas,,
53,18,Royalty Interest,,
53,19,0,,
53,20,0,,
53,21,1/31/2026,,
53,22,0,,
53,23,1,,
53,24,0,,
53,25,0,,
53,26,0,,
53,27,0,,
53,28,0,,
53,29,0,,
53,30,187.5,,
53,31,0,,
53,32,0,,
53,33,187.5,,
54,1,DIVERSIFIED,"DIVERSIFIED PRODUCTION, LLC",
54,2,Wilson Johnson Family,WILSON-JOHNSON FAMILY LLC,
54,5,1/27/2026,"January 27, 2026",
54,6,"1,031.33",1031.33,
54,7,1200016.01,1147303.01,52713.0
54,8,4703305872,4701705974,1599898.0
54,12,GOODWIN 2V NORTH,SMITH J W 34993,
54,14,HARRISON,DODDRIDGE,
54,16,Gas,,
54,18,Royalty Interest,ROYALTY INTEREST,
54,19,0.00053796,0.010176,-0.009638039999999999
54,20,0.00053796,0.010176,-0.009638039999999999
54,21,11/30/2025,Nov 25,
54,22,0,3.24,-3.24
54,23,1,1.2304,-0.23039999999999994
54,24,0,1059.22,-1059.22
54,25,0,3431.09,-3431.09
54,26,0,,
54,27,0,,
