Operator ID,Operator Name,Owner Name,Owner Number,Check Number,Check Date,Check Amount,Operator CC,Operator API,Partner API,MA API,Partner CC,Property Description,Property State,Property County,Product Code,Product Description,Interest Code,Interest Type,Owner Percent,Distribution Percent,Prod Date,Price,BTU Factor,Gross Volume,Gross Value,Gross Taxes,Gross Deducts,Net Value,Owner Gross Volume,Owner Gross Value,Owner Gross Taxes,Owner Gross Deducts,Owner Net Value
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147204.01,4701705055,,,,SMITH J W 14258,WV,DODDRIDGE,,,1.2304,ROYALTY INTEREST,0.010176,2.0,Nov 25,637.22,196.71,3.24,0.010176,,,,6.48,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147205.01,4701705068,,,,SMITH J W 14257,WV,DODDRIDGE,,,1.2304,ROYALTY INTEREST,0.010176,4.31,Nov 25,1372.43,423.69,3.24,0.010176,,,,13.97,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147221.01,4701705144,,,,BROADWATER F R 14259,WV,DODDRIDGE,,,1.2605,ROYALTY INTEREST,0.010176,6.14,Nov 25,2002.75,603.49,3.32,0.010176,,,,20.38,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147226.01,4701705175,,,,OFFUTT EUGENE 7188,WV,DODDRIDGE,,,1.1586,ROYALTY INTEREST,0.01785715,0.56,Nov 25,95.01,31.15,3.05,0.01785715,,,,1.7,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147234.01,4701705219,,,,OFFUTT EUGENE 15004,WV,DODDRIDGE,,,1.2304,ROYALTY INTEREST,0.01785715,0.91,Nov 25,164.36,50.74,3.24,0.01785715,,,,2.94,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147234.01,4701705219,,,,OFFUTT EUGENE 15004,WV,DODDRIDGE,,,,,,,,,,,,,,,,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147236.01,4701705252,,,,OFFUTT EUGENE 15005,WV,DODDRIDGE,,,1.1642,ROYALTY INTEREST,0.01785715,1.07,Nov 25,182.79,59.64,3.06,0.01785715,,,,3.26,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147246.01,4701705472,,,,PEARCY C L 14922,WV,DODDRIDGE,,,1.2244,ROYALTY INTEREST,0.075,10.75,Nov 25,461.91,143.31,3.22,0.075,,,,34.64,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147247.01,4701705490,,,,PEARCY C L 14921,WV,DODDRIDGE,,,1.2238,ROYALTY INTEREST,0.075,6.54,Nov 25,281.01,87.23,3.22,0.075,,,,21.08,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147254.01,4701705560,,,,GREYNOLDS LEVI 14473,WV,DODDRIDGE,,,1.2659,ROYALTY INTEREST,0.0078125,0.35,Nov 25,151.28,45.4,3.33,0.0078125,,,,1.18,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147294.01,4701705843,,,,SMITH J W 14256,WV,DODDRIDGE,,,1.2221,ROYALTY INTEREST,0.010176,2.25,Nov 25,710.2,220.74,3.22,0.010176,,,,7.23,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147300.01,4701705942,,,,DAVIS 405035,WV,DODDRIDGE,,,1.2611,ROYALTY INTEREST,0.00035,0.42,Nov 25,3938.89,1186.5,3.32,0.00035,,,,1.38,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147302.01,4701705973,,,,SMITH J W 32304,WV,DODDRIDGE,,,1.2304,ROYALTY INTEREST,0.010176,5.24,Nov 25,1666.53,514.48,3.24,0.010176,,,,16.96,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1147302.01,4701705973,,,,SMITH J W 32304,WV,DODDRIDGE,,,,,,,,,,,,,,,,,,,
